code,message,severity,pointer
NODE_SKINNED_MESH_NON_ROOT,Node with a skinned mesh is not root. Parent transforms will not affect a skinned mesh.,1,/nodes/33
NODE_SKINNED_MESH_LOCAL_TRANSFORMS,Local transforms will not affect a skinned mesh.,1,/nodes/33
NODE_SKINNED_MESH_NON_ROOT,Node with a skinned mesh is not root. Parent transforms will not affect a skinned mesh.,1,/nodes/34
NODE_SKINNED_MESH_LOCAL_TRANSFORMS,Local transforms will not affect a skinned mesh.,1,/nodes/34
UNUSED_OBJECT,This object may be unused.,2,/images/0
UNUSED_OBJECT,This object may be unused.,2,/images/1
UNUSED_OBJECT,This object may be unused.,2,/images/2
IMAGE_UNRECOGNIZED_FORMAT,Image format not recognized.,1,/images/0
IMAGE_UNRECOGNIZED_FORMAT,Image format not recognized.,1,/images/1
IMAGE_UNRECOGNIZED_FORMAT,Image format not recognized.,1,/images/2
